Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
156.238.128.5-192.168.22.11-443-15700-6,156.238.128.5,443,192.168.22.11,15700,6,20/08/2025 11:07:19 下午,1568,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.5102040816328,1568.0,0.0,1568.0,1568.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,637.7551020408164,637.7551020408164,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,165,0,0,0,0,0,0,0,0,0,0,No Label
156.225.96.195-192.168.22.11-443-15711-6,156.225.96.195,443,192.168.22.11,15711,6,20/08/2025 11:07:19 下午,1598,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.5644555694619,1598.0,0.0,1598.0,1598.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,625.7822277847309,625.7822277847309,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,165,0,0,0,0,0,0,0,0,0,0,No Label
156.225.96.214-192.168.22.11-443-15698-6,156.225.96.214,443,192.168.22.11,15698,6,20/08/2025 11:07:19 下午,43,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46511.62790697674,43.0,0.0,43.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,23255.81395348837,23255.81395348837,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,165,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-61.71.84.246-28744-80-6,192.168.22.11,28744,61.71.84.246,80,6,20/08/2025 11:07:19 下午,19338,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,103.42331161443789,19338.0,0.0,19338.0,19338.0,0,0,0,0,0,19338.0,19338.0,0.0,19338.0,19338.0,0,0,0,0,0,40,0.0,103.42331161443789,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
156.225.96.195-192.168.22.11-443-15744-6,192.168.22.11,15744,156.225.96.195,443,6,20/08/2025 11:07:20 下午,400,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,157500.0,7500.0,200.0,260.2152954766495,384.0,16.0,16.0,16.0,0.0,16.0,16.0,0,0,0,0,0,0,1,0,0,40,20,5000.0,2500.0,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
156.225.96.195-192.168.22.11-443-15744-6,156.225.96.195,443,192.168.22.11,15744,6,20/08/2025 11:07:20 下午,1651,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.3870381586917,1651.0,0.0,1651.0,1651.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,605.6935190793458,605.6935190793458,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,165,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-104.18.18.80-29499-443-6,192.168.22.11,29499,104.18.18.80,443,6,20/08/2025 11:07:21 下午,48815,6,8,197.0,3981.0,109.0,0.0,32.83333333333333,44.91065204009698,1460.0,0.0,497.625,637.520629918302,85588.44617433166,286.79709105807643,3754.9999999999995,5883.174950653771,18742.0,0.0,35390.0,7078.0,10049.1419534207,24531.0,45.0,47538.0,6791.142857142857,7416.036574625996,18821.0,0.0,0,0,0,0,120,184,122.9130390248899,163.88405203318652,0.0,1460.0,278.53333333333336,512.6202808911801,262779.55238095234,0,1,0,0,0,0,0,0,1.0,298.42857142857144,32.833333333333336,497.625,0,0,0,0,0,0,6,197,8,3981,-1,17,3,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-104.18.18.80-29499-443-6,104.18.18.80,443,192.168.22.11,29499,6,20/08/2025 11:07:21 下午,1851,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.4970286331713,1851.0,0.0,1851.0,1851.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,540.2485143165857,540.2485143165857,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,17,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-104.18.18.80-29510-443-6,192.168.22.11,29510,104.18.18.80,443,6,20/08/2025 11:07:22 下午,47705,6,7,197.0,3983.0,109.0,0.0,32.83333333333333,44.91065204009698,1460.0,0.0,569.0,653.4373216562805,87621.84257415366,272.5081228382769,3975.4166666666665,6349.1667951333775,18779.0,19.0,34597.0,6919.4,9969.293445375153,23018.0,20.0,47094.0,7849.0,7589.073935599785,18851.0,161.0,0,0,0,0,120,164,125.77297977151242,146.7351430667645,0.0,1460.0,298.57142857142856,525.9960096785927,276671.8021978022,0,1,0,0,0,0,0,0,1.0,321.53846153846155,32.833333333333336,569.0,0,0,0,0,0,0,6,197,7,3983,-1,16,3,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-104.18.18.80-29510-443-6,104.18.18.80,443,192.168.22.11,29510,6,20/08/2025 11:07:22 下午,14947,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,2073.9947815615174,200.7091724091791,7473.5,10522.456010837013,14914.0,33.0,0,0,0,0,0,33.0,33.0,0.0,33.0,33.0,0,1,0,0,20,40,66.90305746972636,133.80611493945273,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
