Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.22.11-35.223.238.178-41890-443-6,192.168.22.11,41890,35.223.238.178,443,6,15/10/2025 10:09:19 ¤U¤È,528036,7,11,1420.0,3585.0,879.0,0.0,202.85714285714286,354.13012136380445,1420.0,0.0,325.9090909090909,551.0574297739673,9478.520403911856,34.08858486921346,31060.941176470587,68187.87075561038,177766.0,0.0,350062.0,58343.666666666664,88903.46744343928,173692.0,339.0,528036.0,52803.6,84000.64367901527,177766.0,0.0,0,0,0,0,140,244,13.256671893583015,20.831912975630452,0.0,1420.0,263.42105263157896,467.08972678222875,218172.81286549708,0,1,0,0,0,0,0,0,1.0,278.05555555555554,202.85714285714286,325.90909090909093,0,0,0,0,0,0,7,1420,11,3585,-1,325,3,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-35.223.238.178-41890-443-6,192.168.22.11,41890,35.223.238.178,443,6,15/10/2025 10:09:19 ¤U¤È,365,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5479.452054794521,365.0,0.0,365.0,365.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2739.7260273972606,2739.7260273972606,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,253,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-3.169.36.98-41989-443-6,192.168.22.11,41989,3.169.36.98,443,6,15/10/2025 10:09:27 ¤U¤È,5256790,5,6,88.0,1492.0,64.0,0.0,17.6,27.94279871451677,1313.0,0.0,248.66666666666669,526.3077680090488,300.5636519625095,2.0925317541693698,525679.0,1622868.246813236,5144272.0,33.0,5237918.0,1309479.5,2556656.1427811002,5144272.0,33.0,71697.0,14339.4,11091.996159393493,25525.0,793.0,0,0,0,0,100,144,0.9511507973497135,1.1413809568196562,0.0,1313.0,131.66666666666666,375.6991865680292,141149.87878787878,0,1,0,0,0,0,0,0,1.0,143.63636363636363,17.6,248.66666666666666,0,0,0,0,0,0,5,88,6,1492,-1,140,2,0,112485.0,0.0,112485.0,112485.0,5144272.0,0.0,5144272.0,5144272.0,No Label
