Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.22.11-104.16.143.22-14661-443-6,192.168.22.11,14661,104.16.143.22,443,6,19/08/2025 11:19:15 下午,572,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,110139.86013986013,5244.755244755244,286.0,363.4528855298854,543.0,29.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,0,1,0,0,40,20,3496.5034965034965,1748.2517482517483,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,251,1,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-104.16.143.22-14661-443-6,104.16.143.22,443,192.168.22.11,14661,6,19/08/2025 11:19:15 下午,1487,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344.9899125756556,1487.0,0.0,1487.0,1487.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,672.4949562878278,672.4949562878278,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,18,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-20.27.177.113-15340-443-6,20.27.177.113,443,192.168.22.11,15340,6,19/08/2025 11:19:19 下午,808,0,4,0.0,102.0,0,0,0,0,39.0,0.0,25.5,18.411952639521967,126237.62376237623,4950.495049504951,269.3333333333333,238.67202042412373,497.0,21.0,0,0,0,0,0,808.0,269.3333333333333,238.67202042412373,497.0,21.0,0,1,0,0,0,80,0.0,4950.495049504951,0.0,39.0,28.2,17.049926686059386,290.7,0,0,0,1,1,0,0,0,0.0,35.25,0.0,25.5,0,0,0,0,0,0,0,0,4,102,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-20.27.177.113-15340-443-6,20.27.177.113,443,192.168.22.11,15340,6,19/08/2025 11:19:19 下午,2599,2,2,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,9234.32089265102,1539.0534821085032,866.3333333333334,1431.8101596696865,2519.0,0.0,2599.0,2599.0,0.0,2599.0,2599.0,80.0,80.0,0.0,80.0,80.0,0,0,0,0,40,40,769.5267410542516,769.5267410542516,0.0,24.0,4.8,10.73312629199899,115.2,0,0,0,0,1,0,0,0,1.0,6.0,12.0,0.0,0,0,0,0,0,0,2,24,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-20.27.177.116-15342-443-6,20.27.177.116,443,192.168.22.11,15342,6,19/08/2025 11:19:24 下午,419,0,4,0.0,102.0,0,0,0,0,39.0,0.0,25.5,18.411952639521967,243436.754176611,9546.53937947494,139.66666666666666,123.00541993478716,262.0,16.0,0,0,0,0,0,419.0,139.66666666666666,123.00541993478716,262.0,16.0,0,1,0,0,0,80,0.0,9546.53937947494,0.0,39.0,28.2,17.049926686059386,290.7,0,0,0,1,1,0,0,0,0.0,35.25,0.0,25.5,0,0,0,0,0,0,0,0,4,102,-1,251,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-20.27.177.116-15342-443-6,20.27.177.116,443,192.168.22.11,15342,6,19/08/2025 11:19:24 下午,2810,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,8540.925266903914,1067.6156583629893,1405.0,1798.8796513385769,2677.0,133.0,0,0,0,0,0,133.0,133.0,0.0,133.0,133.0,0,1,0,0,20,40,355.87188612099646,711.7437722419929,0.0,24.0,12.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,2.0,16.0,0.0,12.0,0,0,0,0,0,0,1,0,2,24,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-3.169.58.195-15308-443-6,192.168.22.11,15308,3.169.58.195,443,6,19/08/2025 11:19:36 下午,361,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,174515.2354570637,8310.249307479224,180.5,208.59650045003153,328.0,33.0,33.0,33.0,0.0,33.0,33.0,0,0,0,0,0,0,1,0,0,40,20,5540.16620498615,2770.083102493075,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,255,1,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-3.169.58.195-15308-443-6,3.169.58.195,443,192.168.22.11,15308,6,19/08/2025 11:19:36 下午,1520,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.7894736842104,1520.0,0.0,1520.0,1520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,657.8947368421052,657.8947368421052,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,145,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-199.232.150.214-15324-443-6,192.168.22.11,15324,199.232.150.214,443,6,19/08/2025 11:19:37 下午,438,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,143835.61643835617,6849.315068493151,219.0,277.18585822512665,415.0,23.0,23.0,23.0,0.0,23.0,23.0,0,0,0,0,0,0,1,0,0,40,20,4566.2100456621,2283.10502283105,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,255,1,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-199.232.150.214-15324-443-6,199.232.150.214,443,192.168.22.11,15324,6,19/08/2025 11:19:37 下午,12474,3,2,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,1924.001924001924,400.83373416706746,3118.5,5209.213472300785,10867.0,19.0,1607.0,803.5,990.6566004423531,1504.0,103.0,10989.0,10989.0,0.0,10989.0,10989.0,0,0,0,0,60,40,240.5002405002405,160.333493666827,0.0,24.0,4.0,9.797958971132712,96.0,0,0,0,0,1,0,0,0,0.0,4.8,8.0,0.0,0,0,0,0,0,0,3,24,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
