Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
142.250.196.206-192.168.22.11-443-62354-6,192.168.22.11,62354,142.250.196.206,443,6,07/10/2025 03:15:02 下午,69425,9,12,197.0,8380.0,109.0,0.0,21.88888888888889,39.116634710965506,1412.0,0.0,698.3333333333334,670.8226067277174,123543.39214980195,302.4846957148001,3471.2500000000005,7402.694622301575,26818.0,0.0,42419.0,5302.375,8795.823991896868,22921.0,60.0,67835.0,6166.818181818182,9554.88688387447,26818.0,0.0,0,0,0,0,180,264,129.63629816348578,172.84839755131438,0.0,1412.0,389.86363636363643,596.6078153036425,355940.8852813852,0,1,0,0,0,0,0,0,1.0,408.42857142857144,21.88888888888889,698.3333333333334,0,0,0,0,0,0,9,197,12,8380,-1,1076,3,0,0,0,0,0,0,0,0,0,No Label
142.250.196.206-192.168.22.11-443-62355-6,192.168.22.11,62355,142.250.196.206,443,6,07/10/2025 03:15:02 下午,79224,9,11,197.0,8380.0,109.0,0.0,21.88888888888889,39.116634710965506,1412.0,0.0,761.8181818181818,664.6826036811583,108262.64768252044,252.44875290316065,4169.684210526316,9590.888181860899,35540.0,0.0,43577.0,5447.125,9665.767480244023,26099.0,24.0,78591.0,7859.1,12622.615483946089,35540.0,0.0,0,0,0,0,180,244,113.6019388064223,138.84681409673837,0.0,1412.0,408.4285714285714,604.7944751259366,365776.35714285716,0,1,0,0,0,0,0,0,1.0,428.85,21.88888888888889,761.8181818181819,0,0,0,0,0,0,9,197,11,8380,-1,1047,3,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-20.190.166.132-62347-443-6,192.168.22.11,62347,20.190.166.132,443,6,07/10/2025 03:15:25 下午,46914,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,42.63119751033807,46914.0,0.0,46914.0,46914.0,0,0,0,0,0,46914.0,46914.0,0.0,46914.0,46914.0,0,0,0,0,0,40,0.0,42.63119751033807,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,16379,0,0,0,0,0,0,0,0,0,0,No Label
184.50.187.66-192.168.22.11-443-62210-6,192.168.22.11,62210,184.50.187.66,443,6,07/10/2025 03:18:11 下午,4832695,0,4,0.0,25.0,0,0,0,0,24.0,0.0,6.249999999999999,11.84271928232701,5.173096998672583,0.8276955197876132,1610898.3333333335,2777434.9814795544,4817993.0,76.0,0,0,0,0,0,4832695.0,1610898.3333333335,2777434.9814795544,4817993.0,76.0,0,0,0,0,0,92,0.0,0.8276955197876132,0.0,24.0,5.2,10.52140675005011,110.7,0,0,0,0,1,0,0,0,0.0,6.5,0.0,6.25,0,0,0,0,0,0,0,0,4,25,-1,551,0,0,0,0,0,0,0,0,0,0,No Label
142.250.198.74-192.168.22.11-443-62349-6,142.250.198.74,443,192.168.22.11,62349,6,07/10/2025 03:18:22 下午,311,0,2,0.0,73.0,0,0,0,0,73.0,0.0,36.5,51.61879502661797,234726.68810289388,6430.868167202572,311.0,0.0,311.0,311.0,0,0,0,0,0,311.0,311.0,0.0,311.0,311.0,0,1,0,0,0,40,0.0,6430.868167202572,0.0,73.0,48.66666666666667,42.14656965084268,1776.3333333333333,0,0,0,1,1,0,0,0,0.0,73.0,0.0,36.5,0,0,0,0,0,0,0,0,2,73,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-203.133.72.142-62394-443-6,192.168.22.11,62394,203.133.72.142,443,6,07/10/2025 03:18:19 下午,5337528,6,8,88.0,4515.0,64.0,0.0,14.666666666666668,26.00512769948778,1412.0,0.0,564.375,708.2089960900364,862.3842347993303,2.6229370600023083,410579.0769230769,1463855.4532626313,5282522.0,15.0,5319345.0,1063869.0,2368117.453258495,5300066.0,43.0,54963.0,7851.857142857143,9280.854548092926,18481.0,83.0,0,0,0,0,120,184,1.1241158828581321,1.4988211771441762,0.0,1412.0,306.8666666666667,576.3950612788651,332231.26666666666,0,1,0,0,0,0,0,0,1.0,328.7857142857143,14.666666666666666,564.375,0,0,0,0,0,0,6,88,8,4515,-1,1046,2,0,54963.0,0.0,54963.0,54963.0,5282522.0,0.0,5282522.0,5282522.0,No Label
192.168.22.11-203.133.72.142-62393-443-6,192.168.22.11,62393,203.133.72.142,443,6,07/10/2025 03:18:19 下午,5338043,6,8,88.0,4516.0,64.0,0.0,14.666666666666668,26.00512769948778,1412.0,0.0,564.5,708.1515172818395,862.4883688647694,2.6226840061048593,410618.6923076923,1461895.3497992703,5276020.0,15.0,5316256.0,1063251.2,2366159.3391145915,5295943.0,19.0,62004.0,8857.714285714286,10675.293964949875,21657.0,55.0,0,0,0,0,120,184,1.1240074311877968,1.4986765749170623,0.0,1412.0,306.93333333333334,576.3916657802682,332227.3523809524,0,1,0,0,0,0,0,0,1.0,328.85714285714283,14.666666666666666,564.5,0,0,0,0,0,0,6,88,8,4516,-1,1046,2,0,62004.0,0.0,62004.0,62004.0,5276020.0,0.0,5276020.0,5276020.0,No Label
192.168.22.11-203.133.72.142-62394-443-6,203.133.72.142,443,192.168.22.11,62394,6,07/10/2025 03:18:24 下午,1573,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4558169103625,1573.0,0.0,1573.0,1573.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,635.7279084551813,635.7279084551813,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1046,0,0,0,0,0,0,0,0,0,0,No Label
192.168.22.11-203.133.72.142-62393-443-6,203.133.72.142,443,192.168.22.11,62393,6,07/10/2025 03:18:24 下午,74,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27027.027027027027,74.0,0.0,74.0,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13513.513513513513,13513.513513513513,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1046,0,0,0,0,0,0,0,0,0,0,No Label
173.194.141.202-192.168.22.11-443-62397-6,192.168.22.11,62397,173.194.141.202,443,6,07/10/2025 03:18:20 下午,5530161,6,9,88.0,4625.0,64.0,0.0,14.666666666666668,26.00512769948778,1408.0,0.0,513.8888888888889,682.9583523986738,852.2355859078967,2.712398427459888,395011.5,1324846.1178519363,4990584.0,0.0,5348071.0,1069614.2,2291655.9646534426,5166706.0,25.0,539552.0,67444.0,92981.29212297032,181972.0,0.0,0,0,0,0,120,204,1.0849593709839551,1.6274390564759327,0.0,1408.0,294.5625,561.2243720949166,314972.79583333334,0,1,0,0,0,0,0,0,1.0,314.2,14.666666666666666,513.8888888888889,0,0,0,0,0,0,6,88,9,4625,-1,1044,2,0,0,0,0,0,0,0,0,0,No Label
